encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,energy_mean_encoder,energy_mean_decoder,energy_std_encoder,energy_std_decoder
512,6,1194.66666666667,3.66666666666667,512,5,2048,5.2,4.4,2.2,0.991739995464613,13.5810667845861,0.080352090391538,1.37634477051352
640,6,2218.66666666667,2.33333333333333,640,2,1280,4,3,2,0.594865412888467,7.74990519226379,0.031835068465449,0.523718425176706
640,6,2304,5,512,4,768,3.5,4.5,2.25,0.602283250031531,10.1117635518094,0.037736310834845,0.091832352693436
512,6,2389.33333333333,3.66666666666667,512,4,1792,3,4.5,2,0.844762171732497,10.3572738189313,0.061817488903022,0.233875056453411
512,6,1962.66666666667,4,640,6,1706.66666666667,3.66666666666667,4.33333333333333,2.16666666666667,0.754460845750272,13.2950963081001,0.12449409778787,0.342322012250042
640,6,1877.33333333333,4.66666666666667,640,4,1280,7,5.5,1.5,0.816514272581406,10.4406168811993,0.175870430431558,0.14790974383038
640,6,2133.33333333333,5.66666666666667,640,5,1536,3.6,4.4,2,0.596333040667236,12.8926877048487,0.029953081708323,0.208857737910652
512,6,1792,5,512,1,3072,8,4,3,0.639666126912296,6.80231089507458,0.087734827976371,0.519218286832045
640,6,1962.66666666667,4.33333333333333,640,2,2048,5,8,1,0.727577819831739,7.63900457282027,0.125002332221238,0.219968912626894
640,6,1792,5.66666666666667,512,2,3072,4,5,2,0.596406108238995,7.58732009600885,0.036850210594221,0.164867284348631
640,6,1280,5.66666666666667,512,5,1843.2,5.2,4.8,2.4,0.695584985793581,12.6808038608382,0.174637481349703,0.284518651718401
512,6,1962.66666666667,5,640,5,1843.2,5.6,4.4,2.6,0.695589089207113,12.7463560830061,0.116444893834037,0.261696593059062
640,6,1536,5,512,5,1433.6,6,4,1.4,0.583261108416379,12.1075299877567,0.030306696696388,0.201001657828638
640,6,1280,3.66666666666667,512,1,512,4,4,1,0.731282502152085,4.14583553006993,0.107831211900078,0.102506026285103
640,6,1024,3.66666666666667,512,3,2048,2.66666666666667,5.33333333333333,2,0.874611293266803,9.78258162283226,0.1003313203858,0.230796650082398
512,6,1450.66666666667,3.66666666666667,640,6,1450.66666666667,4.33333333333333,5.33333333333333,1.5,0.578489779342115,13.2908164526226,0.040371259387628,0.484194567566791
640,6,1280,4,640,4,1792,2.5,3,1.5,0.614867059408396,10.6926733880412,0.05376363691583,0.109037468429264
512,6,1450.66666666667,5.33333333333333,640,2,1536,2,5,2,0.853073799723685,7.6590853267732,0.070543327888048,0.209362078950549
512,6,2133.33333333333,4.33333333333333,512,6,1536,5.66666666666667,6.66666666666667,2.33333333333333,0.601480003844768,13.2715892909581,0.070580858783136,0.34992730282899
640,6,2218.66666666667,6,512,1,512,8,2,3,0.638430143758724,6.82089220326925,0.071584915316751,1.14226908391863
512,6,1792,3.66666666666667,512,2,1536,6,5,2,0.585835354911923,7.19751418693333,0.032953691484401,0.200152699214146
512,6,1280,4.66666666666667,640,1,2048,8,2,2,0.874837139742305,5.08106678406815,0.102997938605775,1.06999930656062
640,6,1706.66666666667,3,512,1,512,8,2,3,0.596443356584191,5.88055514093306,0.032743814254417,1.46803392477153
640,6,938.666666666667,6.66666666666667,512,2,2048,2,3,2,0.821395535490006,7.33187493645947,0.067755014958766,0.192463913777691
512,6,1792,6,640,4,1536,3,5,1.25,0.599623761030436,10.6943248667763,0.056123657054145,0.212430773627469
640,6,1621.33333333333,3.66666666666667,640,3,1024,6.66666666666667,3.33333333333333,1.66666666666667,0.617042138855378,10.0073058820919,0.068060721704027,0.242567289994015
640,6,1194.66666666667,4.66666666666667,512,1,2048,8,8,1,0.846524867579619,5.23560396148163,0.035098354360297,1.0681594505417
512,6,1962.66666666667,5.33333333333333,512,6,2218.66666666667,5,5,2.16666666666667,0.615166615723014,13.4926400459982,0.046649153624933,0.330741189590564
512,6,1706.66666666667,5,640,2,1024,6,3,1.5,0.886505896539569,7.83960102982153,0.1655340120946,0.399619781711666
640,6,1194.66666666667,3.66666666666667,640,2,512,4,6,1,0.597944482660949,7.92928821966969,0.02763355363193,0.555402376664046
512,6,1109.33333333333,2.66666666666667,640,2,2048,3,3,1.5,0.93654866315489,7.70037756165456,0.130627550452465,0.215782670697022
640,6,2048,3.66666666666667,512,5,1331.2,3.6,4.4,2.2,0.755930637437075,12.6121340426199,0.113512634986713,0.376616102725649
512,6,1962.66666666667,5.33333333333333,640,5,1945.6,7.2,4,1.6,0.619827108749052,13.1288657471768,0.060817283541864,0.225428918547665
640,6,1962.66666666667,3.33333333333333,640,2,2048,8,3,3,0.632812502743781,7.83005283086916,0.058023793892418,0.169987448998714
512,6,1962.66666666667,6.33333333333333,640,3,2389.33333333333,4,8,1.66666666666667,0.60901716314137,10.679183913634,0.039656586619452,0.480494615998989
640,6,1536,3.33333333333333,640,2,768,6,3,2.5,0.788151126503706,7.82525086925129,0.137558650693709,0.298962165956503
640,6,1792,4.33333333333333,512,1,3072,2,4,1,0.740345719204992,6.262941037211,0.171022354321847,1.26871273745168
512,6,1792,3.33333333333333,640,6,1280,4.33333333333333,4.33333333333333,1.66666666666667,0.616844225194971,13.3107210645596,0.062490893276659,0.3317926723754
640,6,2048,4.66666666666667,640,2,768,3,4,1,0.844834667620331,7.42835938404044,0.142831231547208,0.247516074186044
640,6,1792,3,640,4,1152,3,4,2,0.846845933274388,10.7193327886355,0.045072862850053,0.119502557717616
640,6,1621.33333333333,4.66666666666667,512,6,1621.33333333333,4.33333333333333,6.66666666666667,1.66666666666667,0.908173099958489,13.2126682519003,0.099609933291457,0.310990825127937
512,6,1706.66666666667,3.66666666666667,512,5,921.6,4.4,4.8,2.2,0.780348856588006,12.3547157334018,0.166072295364179,0.282434134731682
512,6,1450.66666666667,5,640,1,512,2,4,2,0.623020018194814,5.74541187479816,0.064348330522302,1.42505211411136
640,6,1877.33333333333,2.66666666666667,512,2,2560,5,6,2,0.650966603445272,7.62004562277744,0.065801710222073,0.352669116543196
640,6,938.666666666667,6,512,2,1280,3,6,1.5,0.742760238413304,7.62239817807376,0.171602702347705,0.365344363682831
512,6,1109.33333333333,4.66666666666667,640,6,1365.33333333333,5.33333333333333,4,2.16666666666667,0.793515921961151,13.3871948524314,0.155682859106329,0.283857103063677
512,6,1109.33333333333,5,640,5,1024,5.6,5.6,2,0.583183058571458,12.8280204764884,0.034354004721522,0.256745686505529
512,6,1280,4.33333333333333,640,5,1433.6,6,5.6,2.4,0.678724105656445,13.1974245097072,0.115066785504748,0.224844728661945
512,6,2048,5.33333333333333,512,4,1280,3,6,2.25,0.799570980311394,10.4576383375497,0.172789672169863,0.227478826710046
640,6,1450.66666666667,5.66666666666667,640,1,1024,4,4,3,0.77882938020737,7.50134103692735,0.116711721101351,0.420902854786478
512,6,1536,4,512,5,1843.2,2,3.2,2.2,0.865038097811401,12.6812834483565,0.01789047739662,0.375858576516646
512,6,1706.66666666667,3,512,2,512,5,6,1,0.859603797402351,7.39150517025961,0.160880750807062,0.176625347101604
512,6,1109.33333333333,5,512,5,2252.8,3.6,6,1.6,0.830615539417058,12.595626121188,0.033988403451975,0.181316631029313
640,6,1877.33333333333,5.33333333333333,512,2,1536,4,6,1.5,0.58808338549298,7.43499431986916,0.023787030268179,0.197523571597525
